,hoard_id,coin_group_id,start_year,end_year,revised_start,revised_end,ruler,revised_ruler,denomination,num_coins,mint,imported,created,updated
24863,592,21991,,,311.0,330.0,Crispus,Crispus,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-06-01T08:16:58Z,
24864,592,21992,,,364.0,378.0,Valens,Valens,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-06-01T08:17:10Z,
24865,592,21993,,,364.0,375.0,Valentinian I,Valentinian I,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-06-01T08:17:24Z,
24866,592,21994,,,367.0,383.0,Gratian,Gratian,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-06-01T08:17:35Z,
24904,1637,23414,,,360.0,363.0,Julian,Julian,siliqua,2.0,,2017-08-28 08:25:10.162802,2015-07-20T15:57:01Z,
24905,1637,23415,,,364.0,378.0,Valens,Valens,siliqua,2.0,,2017-08-28 08:25:10.162802,2015-07-20T15:57:12Z,
24906,1637,23416,,,367.0,383.0,Gratian,Gratian,siliqua,1.0,,2017-08-28 08:25:10.162802,2015-07-20T15:57:23Z,
24907,1637,23417,,,375.0,392.0,Valentinian II,Valentinian II,siliqua,1.0,,2017-08-28 08:25:10.162802,2015-07-20T15:57:35Z,
24908,1637,23418,,,383.0,388.0,Magnus Maximus,Magnus Maximus,siliqua,2.0,,2017-08-28 08:25:10.162802,2015-07-20T15:57:47Z,
24909,1637,23419,,,379.0,395.0,Theodosius I,Theodosius I,siliqua,1.0,,2017-08-28 08:25:10.162802,2015-07-20T15:58:00Z,
24910,1637,23420,,,395.0,408.0,Arcadius,Arcadius,siliqua,2.0,,2017-08-28 08:25:10.162802,2015-07-20T15:58:16Z,
24911,1637,23421,,,395.0,423.0,Honorius (emperor),Honorius,siliqua,3.0,,2017-08-28 08:25:10.162802,2015-07-20T15:58:30Z,
24912,1637,23422,,,330.0,402.0,"Nummus, uncertain ruler, c. 330-402",Unknown,AE 1-4 (UK find),87.0,,2017-08-28 08:25:10.162802,2015-07-20T15:58:54Z,
24947,1023,23153,,,307.0,363.0,House of Constantine,House of Constantine,AE 1-4 (UK find),376.0,,2017-08-28 08:25:10.162802,2015-07-16T13:00:50Z,
24948,1023,23154,,,350.0,353.0,Magnentius or Decentius,Magnentius or Decentius,AE 1-4 (UK find),430.0,,2017-08-28 08:25:10.162802,2015-07-16T13:01:04Z,
24949,1023,23155,348.0,361.0,348.0,361.0,House of Constantine,House of Constantine,AE 1-4 (UK find),30.0,,2017-08-28 08:25:10.162802,2015-07-16T13:01:26Z,
25043,2235,22507,,335.0,307.0,335.0,House of Constantine,House of Constantine,AE 1-4 (UK find),471.0,,2017-08-28 08:25:10.162802,2015-06-12T15:28:08Z,
25152,1265,24875,,,306.0,337.0,Constantine I,Constantine I,AE 1-4 (UK find),28.0,,2017-08-28 08:25:10.162802,2015-08-14T15:51:02Z,
25153,1265,24876,,,337.0,340.0,Constantine II,Constantine II,AE 1-4 (UK find),22.0,,2017-08-28 08:25:10.162802,2015-08-14T15:51:20Z,
25154,1265,24877,,,337.0,361.0,Constantius II,Constantius II,AE 1-4 (UK find),387.0,,2017-08-28 08:25:10.162802,2015-08-14T15:51:57Z,
25155,1265,24878,,,324.0,330.0,Fausta,Fausta,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-08-14T15:52:12Z,
25156,1265,24879,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),16.0,,2017-08-28 08:25:10.162802,2015-08-14T15:52:38Z,2015-08-14T15:54:14Z
25157,1265,24880,335.0,341.0,335.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),195.0,,2017-08-28 08:25:10.162802,2015-08-14T15:53:36Z,2015-08-14T15:55:37Z
25158,1265,24881,337.0,361.0,337.0,361.0,House of Constantine,House of Constantine,AE 1-4 (UK find),866.0,,2017-08-28 08:25:10.162802,2015-08-14T15:56:43Z,2015-08-14T15:58:04Z
25159,1265,24882,,,360.0,363.0,Julian,Julian,AE 1-4 (UK find),17.0,,2017-08-28 08:25:10.162802,2015-08-14T15:58:15Z,2015-08-14T15:58:22Z
25160,1265,24883,,,363.0,364.0,Jovian,Jovian,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-08-14T15:58:30Z,
25161,1265,24884,,,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),62.0,,2017-08-28 08:25:10.162802,2015-08-14T15:58:52Z,
25162,1265,24885,,,300.0,399.0,Uncertain - 4th century,Unknown,AE 1-4 (UK find),57.0,,2017-08-28 08:25:10.162802,2015-08-14T15:59:20Z,
25207,1650,23451,321.0,330.0,321.0,330.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-07-21T10:49:20Z,
25208,1650,23452,330.0,335.0,330.0,335.0,House of Constantine,House of Constantine,AE 1-4 (UK find),3.0,,2017-08-28 08:25:10.162802,2015-07-21T10:49:40Z,
25209,1650,23453,335.0,341.0,335.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-07-21T10:49:58Z,
25210,1650,23454,330.0,341.0,330.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),4.0,,2017-08-28 08:25:10.162802,2015-07-21T10:50:14Z,
25211,1650,23455,341.0,348.0,341.0,348.0,House of Constantine,House of Constantine,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-07-21T10:50:35Z,
25212,1650,23456,348.0,351.0,348.0,351.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-07-21T10:51:23Z,2015-07-21T10:51:54Z
25213,1650,23457,348.0,361.0,348.0,361.0,Constantius II,Constantius II,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-07-21T10:51:49Z,
25267,3144,23517,,,302.0,402.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-07-22T14:55:53Z,
25287,1568,25661,,,307.0,363.0,House of Constantine,House of Constantine,AE 1-4 (UK find),978.0,,2017-08-28 08:25:10.162802,2015-09-01T08:23:57Z,
25288,1568,25662,,,302.0,402.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),369.0,,2017-08-28 08:25:10.162802,2015-09-01T08:42:04Z,
25677,260,26180,,,307.0,363.0,House of Constantine,House of Constantine,AE 1-4 (UK find),,,2017-08-28 08:25:10.162802,2015-09-08T10:57:54Z,
25679,779,22687,,,,,Uncertain,Unknown,uncertain (gold),,,2017-08-28 08:25:10.162802,2015-06-24T10:34:23Z,
25680,779,22688,,,,,Uncertain,Unknown,uncertain (silver),,,2017-08-28 08:25:10.162802,2015-06-24T10:34:44Z,
1112,786,22698,,,,,Uncertain,Unknown,unidentified bronze coins,1.0,,2017-08-28 08:25:44.056763,2015-06-24T12:33:55Z,2015-06-24T12:34:06Z
1113,819,22732,,,,,Uncertain,Unknown,uncertain (silver),3.0,,2017-08-28 08:25:44.056763,2015-06-25T10:41:00Z,
1137,1202,25346,,,260.0,402.0,Uncertain (AD 260 - 402),Uncertain (AD 260 - 402),radiate or nummus (UK find),1000.0,,2017-08-28 08:25:44.056763,2015-08-21T16:03:35Z,
1147,2214,26845,,,,,Uncertain,Unknown,unidentified bronze coins,1.0,,2017-08-28 08:25:44.056763,2015-10-09T15:32:35Z,
