id,Name,Description,Latitude,Longitude,Geonamesid,AdminDivision,AdminDivisionNameLong,Region,RomanProvince,Rhineside
2548,Prügy,,48.0833300,21.2500000,NULL,HU_04_2127,Prügy,NULL,NULL,NULL
2549,"Nagyvárad (RO)",Oradea,47.0458000,21.9183300,NULL,,,NULL,NULL,NULL
2550,Nagyhegyes,,47.5166700,21.4166700,NULL,HU_09_947,Nagyhegyes,NULL,NULL,NULL
2551,Földes,,47.3000000,21.3666700,NULL,HU_09_325,Földes,NULL,NULL,NULL
2552,Nagykereki,,47.1833300,21.8000000,NULL,HU_09_890,Nagykereki,NULL,NULL,NULL
2553,Zsáka,,47.1333300,21.4333300,NULL,HU_09_481,Zsáka,NULL,NULL,NULL
2554,Jászkarajenő,,47.0500000,20.0666700,NULL,HU_14_1100,Jászkarajenő,NULL,NULL,NULL
2555,Hetényegyháza,,46.9282100,19.5805400,NULL,HU_01_2668,Kecskemét,NULL,NULL,NULL
2556,"Érkeserű (RO)",Cheșereu,47.4277900,22.1141600,NULL,,,NULL,NULL,NULL
2557,"Hegyközszentimre (RO)",Sântimreu,47.2487700,22.0451000,NULL,,,NULL,NULL,NULL
2558,Vácszentlászló,,47.5740000,19.5377100,NULL,HU_14_910,Vácszentlászló,NULL,NULL,NULL
2559,Bag,,47.6333300,19.4833300,NULL,HU_14_913,Bag,NULL,NULL,NULL
2560,Zsámbok,,47.5438100,19.6104800,NULL,HU_14_2203,Zsámbok,NULL,NULL,NULL
2561,Gyömrő,,47.4273300,19.4013300,NULL,HU_14_2973,Gyömrő,NULL,NULL,NULL
2562,Drágszél,,46.4675000,19.0397200,NULL,HU_01_752,Drágszél,NULL,NULL,NULL
2563,Tápiószele,,47.3360900,19.8772400,NULL,HU_14_1414,Tápiószele,NULL,NULL,NULL
2564,Tápiógyörgye,,47.3350500,19.9527600,NULL,HU_14_1730,Tápiógyörgye,NULL,NULL,NULL
2565,Újszilvás,,47.2747700,19.9247700,NULL,HU_14_1780,Újszilvás,NULL,NULL,NULL
2566,Alsónémedi,,47.3152400,19.1584300,NULL,HU_14_2319,Alsónémedi,NULL,NULL,NULL
2567,Tajó,,46.4758200,19.6644600,NULL,HU_01_2439,Kiskunmajsa,NULL,NULL,NULL
2568,Csévharaszt,,47.3000000,19.4333300,NULL,HU_14_1847,Csévharaszt,NULL,NULL,NULL
2569,Csemő,,47.1179900,19.6909200,NULL,HU_14_518,Csemő,NULL,NULL,NULL
2570,Tápiószőlős,,47.3024800,19.8513300,NULL,HU_14_276,Tápiószőlős,NULL,NULL,NULL
2571,Miske,,46.4464300,19.0330800,NULL,HU_01_3063,Miske,NULL,NULL,NULL
2572,Tápióbicske,,47.3609600,19.6860900,NULL,HU_14_1501,Tápióbicske,NULL,NULL,NULL
2573,Nagykőrös,,47.0341900,19.7785700,NULL,HU_14_1971,Nagykőrös,NULL,NULL,NULL
