id	FindSpot	Place	AdminDivision	Material	Mint	Mint2	Period	Denomination	Denomination2	FindCategory	CoinImage	CoinImage2	DateFrom	DateTo	DateWritten	MintMark	Countermark	Weight	DieAxis	Status	CoinType	Coin_Quantity	ObverseDescription	ReverseDescription	ObverseLegend	ReverseLegend																																																																																																																																																
129	NULL	2306	HU_11_2210	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	NULL	NULL				NULL	NULL	NULL	NULL	1		cs labarummal és kezében Victorival, el?tte fogoly		SECVRITAS REIPVBLICAE																																																																																																																																																
130	NULL	2306	HU_11_2210	NULL	222	NULL	NULL	25	NULL	NULL	NULL	NULL	245	246		AN VII		15.4	NULL	NULL	NULL	1																																																																																																																																																				
131	3893	2306	HU_11_2210	NULL	222	NULL	NULL	25	NULL	NULL	NULL	NULL	251	251				12.18	NULL	NULL	NULL	1																																																																																																																																																				
132	NULL	2306	HU_11_2210	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	330	340				2.55	NULL	NULL	31	1																																																																																																																																																				
133	NULL	2306	HU_11_2210	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL				2.34	NULL	NULL	NULL	1		Providentia																																																																																																																																																		
134	NULL	2306	HU_11_2210	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	313	315		B		2.67	NULL	NULL	NULL	1		Jupiter																																																																																																																																																		
135	NULL	2306	HU_11_2210	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	355	358		A		2.15	NULL	NULL	5	1																																																																																																																																																				
136	NULL	2306	HU_11_2210	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	313	315		E		2.85	NULL	NULL	NULL	1		Jupiter																																																																																																																																																		
137	NULL	2306	HU_11_2210	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	178	187				2.04	NULL	NULL	NULL	1		Hilaritas																																																																																																																																																		
138	NULL	2306	HU_11_2210	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	-84	-84				3.25	NULL	NULL	NULL	1	Cybele	sella curulis		Crassipes																																																																																																																																																
139	NULL	2306	HU_11_2210	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	153	154				2.8	NULL	NULL	NULL	1		Annona																																																																																																																																																		
140	NULL	2306	HU_11_2210	NULL	57	NULL	NULL	39	NULL	NULL	NULL	NULL	305	305		P		9.45	NULL	NULL	NULL	1		Fides Militum																																																																																																																																																		
141	NULL	2306	HU_11_2210	NULL	NULL	NULL	NULL	52	NULL	NULL	NULL	NULL	364	367				7.95	NULL	NULL	NULL	1				RESTITVTOR REIPVBLICAE																																																																																																																																																
142	NULL	2306	HU_11_2210	NULL	83	NULL	NULL	54	NULL	NULL	NULL	NULL	364	367		A		2.5	NULL	NULL	19	1																																																																																																																																																				
143	NULL	2306	HU_11_2210	NULL	50	NULL	NULL	19	NULL	NULL	NULL	NULL	NULL	NULL				2.38	NULL	NULL	NULL	1				n?, patera+cornucopia																																																																																																																																																
144	NULL	2306	HU_11_2210	NULL	50	NULL	NULL	25	NULL	NULL	NULL	NULL	177	178				20.2	NULL	NULL	NULL	1		Feicitas																																																																																																																																																		
145	NULL	2306	HU_11_2210	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	294	299				2.96	NULL	NULL	NULL	1		cs és Jup																																																																																																																																																		
146	NULL	2306	HU_11_2210	NULL	NULL	NULL	NULL	16	NULL	NULL	NULL	NULL	NULL	NULL				2.16	NULL	NULL	NULL	1		sas	DIVVS																																																																																																																																																	
147	NULL	2306	HU_11_2210	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	353	358				2.36	NULL	NULL	NULL	1		M																																																																																																																																																		
148	NULL	2306	HU_11_2210	NULL	79	NULL	NULL	16	NULL	NULL	NULL	NULL	297	298		C		3.37	NULL	NULL	NULL	1		cs + Jup																																																																																																																																																		
149	NULL	2306	HU_11_2210	NULL	NULL	NULL	NULL	28	NULL	NULL	NULL	NULL	NULL	NULL				7.95	NULL	NULL	NULL	1	Agrippa																																																																																																																																																			
150	NULL	2306	HU_11_2210	NULL	39	NULL	NULL	54	NULL	NULL	NULL	NULL	321	321		P		3.31	NULL	NULL	NULL	1				VOT XX																																																																																																																																																
151	NULL	2306	HU_11_2210	NULL	74	NULL	NULL	54	NULL	NULL	NULL	NULL	324	325				2.15	NULL	NULL	NULL	1	Crispus	Victoria																																																																																																																																																		
152	NULL	2306	HU_11_2210	NULL	NULL	NULL	NULL	19	NULL	NULL	NULL	NULL	76	77				2.55	NULL	NULL	NULL	1		pegasos																																																																																																																																																		
153	NULL	2306	HU_11_2210	NULL	58	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375		S		2.2	NULL	NULL	19	1																																																																																																																																																				
154	3851	2313	HU_14_2493	NULL	48	NULL	NULL	16	NULL	2	NULL	NULL	251	253				1.81	7	NULL	NULL	1		Pax Aeterna																																																																																																																																																		
155	3848	2312	HU_14_497	NULL	224	NULL	2	60	NULL	NULL	NULL	NULL	-336	-323		villamkoteg		6.34	11	NULL	NULL	1	Alexander III																																																																																																																																																			
156	3851	2313	HU_14_2493	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	350	358				1.36	12	NULL	5	1																																																																																																																																																				
